track_id_atualizado,track_name_clean,artist_s__name_clean,count_songs,artist_count,data_de_lancamento,streams,in_spotify_charts,in_spotify_playlists,in_apple_charts,in_apple_playlists,in_deezer_charts,in_deezer_playlists,total_participation_in_playlist,bpm,danceability__,valence__,energy__,acousticness__,instrumentalness__,liveness__,speechiness__,terciles_streams,categoria_streams,terciles_bpm,categoria_bpm,terciles_danceability,categoria_danceability,terciles_valence,categoria_valence,terciles_energy,categoria_energy,terciles_acousticness,categoria_acousticness,terciles_instrumentalness,categoria_instrumentalness,terciles_liveness,categoria_liveness,terciles_speechiness,categoria_speechiness
5757514,despech,rosal,2,1,2022-07-28,782369383,33,7613,90,180,15,422,8215,130,92,78,62,18,0,6,10,3,alto,2,medio,3,alto,3,alto,2,medio,2,medio,2,medio,1,baixo,3,alto
8455676,heartless,kanye west,3,1,2008-01-01,887906111,34,17504,39,63,0,1315,18882,88,79,66,65,5,0,25,14,3,alto,1,baixo,3,alto,3,alto,2,medio,1,baixo,1,baixo,3,alto,3,alto
7405938,wake me up  radio edit,avicii,2,1,2013-01-01,1970673297,34,50887,160,315,1,6284,57486,124,53,66,78,0,0,16,5,3,alto,2,medio,1,baixo,3,alto,3,alto,1,baixo,2,medio,2,medio,2,medio
6966778,provenza,karol g,4,1,2022-04-21,885093467,34,6587,104,114,11,147,6848,111,87,53,52,66,1,11,5,3,alto,2,medio,3,alto,2,medio,1,baixo,3,alto,3,alto,2,medio,2,medio
3875589,vista al mar,quevedo,4,1,2022-09-08,362361576,34,1769,19,16,3,21,1806,105,76,49,56,80,12,10,13,2,medio,1,baixo,3,alto,2,medio,1,baixo,3,alto,3,alto,1,baixo,3,alto
3869741,watermelon sugar,harry styles,17,1,2019-11-17,2322580122,34,21915,115,437,12,1212,23564,95,55,56,82,12,0,34,5,3,alto,1,baixo,1,baixo,2,medio,3,alto,2,medio,1,baixo,3,alto,2,medio
1630789,the night we met,lord huron,1,1,2015-02-02,1410088830,35,18515,82,70,1,939,19524,174,45,10,37,97,25,64,4,3,alto,3,alto,1,baixo,1,baixo,1,baixo,3,alto,3,alto,3,alto,1,baixo
1397395,mientras me curo del cora,karol g,4,1,2023-02-24,206399629,35,1020,26,15,6,30,1065,80,52,57,48,86,0,15,39,2,medio,1,baixo,1,baixo,2,medio,1,baixo,3,alto,2,medio,2,medio,3,alto
4928987,new jeans,newjeans,6,1,2023-07-07,29562220,35,77,166,8,4,4,89,134,81,53,72,51,0,12,5,1,baixo,3,alto,3,alto,2,medio,2,medio,3,alto,2,medio,2,medio,2,medio
7502400,cmo dormi,rels b,1,1,2022-08-04,331511413,35,1452,15,16,0,20,1488,126,63,56,43,24,0,12,23,2,medio,2,medio,2,medio,2,medio,1,baixo,2,medio,3,alto,2,medio,3,alto
